date,time,DOY,Ta,RH,Rg
[yyyy-mm-dd],[HH:MM],[ddd.ddd],[K],[%],[W/m^2]
2019-04-29,13:03,119.5436,268.083,91.2501,214.682
2019-04-29,13:33,119.5644,268.415,91.1682,200.726
2019-04-29,14:03,119.5853,269.040,92.4068,256.989
2019-04-29,14:33,119.6061,269.152,91.8101,193.779
2019-04-29,15:03,119.6269,269.555,90.7852,230.735
2019-04-29,15:33,119.6478,269.222,93.0430,105.041
2019-04-29,16:03,119.6686,269.109,94.0527,104.073
2019-04-29,16:33,119.6894,269.320,94.7311,93.0635
2019-04-29,17:03,119.7103,269.732,94.8912,95.5109
2019-04-29,17:33,119.7311,269.862,95.4207,42.0652
2019-04-29,18:03,119.7519,269.683,96.2958,12.5238
2019-04-29,18:33,119.7727,269.427,97.6231,5.27016
2019-04-29,19:03,119.7936,269.403,98.0150,2.66800
2019-04-29,19:33,119.8144,268.936,97.1148,-0.351702E-01
2019-04-29,20:03,119.8352,268.337,96.8495,-0.137297
2019-04-29,20:33,119.8561,268.016,97.4385,0.117009
2019-04-29,21:03,119.8769,268.207,97.6314,0.377445
2019-04-29,21:33,119.8977,268.469,98.2128,0.463353
2019-04-29,22:03,119.9186,268.989,99.2356,0.259747
2019-04-29,22:33,119.9394,269.713,99.3292,0.173840
2019-04-29,23:03,119.9602,269.846,99.0925,0.215771
2019-04-29,23:33,119.9810,269.926,99.6766,0.160978
2019-04-30,00:03,120.0020,270.027,98.3867,0.323297
2019-04-30,00:33,120.0229,268.926,98.4129,0.870466
2019-04-30,01:03,120.0437,269.037,99.4957,0.112276
2019-04-30,01:33,120.0645,269.499,99.7105,-0.541105
2019-04-30,02:03,120.0854,270.391,99.9295,-1.32708
2019-04-30,02:33,120.1062,271.584,99.9305,-0.606048
2019-04-30,03:03,120.1270,271.669,99.9331,-0.642515
2019-04-30,03:33,120.1478,272.466,97.9590,-0.915055
2019-04-30,04:03,120.1687,272.535,97.1249,-1.33293
2019-04-30,04:33,120.1895,272.854,98.4606,-1.17938
2019-04-30,05:03,120.2103,272.791,96.1701,-1.06099
2019-04-30,05:33,120.2312,272.780,98.5641,0.985876
2019-04-30,06:03,120.2520,272.824,95.7875,4.36476
2019-04-30,06:33,120.2728,272.916,98.5997,13.4909
2019-04-30,07:03,120.2937,272.883,98.4151,39.1496
2019-04-30,07:33,120.3145,273.091,97.4132,44.1946
2019-04-30,08:03,120.3353,272.736,99.1657,53.5824
2019-04-30,08:33,120.3561,272.663,97.5806,78.9778
2019-04-30,09:03,120.3770,272.789,95.4217,104.094
2019-04-30,09:33,120.3978,272.976,88.6984,118.808
2019-04-30,10:03,120.4186,273.395,87.3086,136.584
2019-04-30,10:33,120.4395,273.671,85.5479,185.873
2019-04-30,11:03,120.4603,273.873,82.3687,295.790
2019-04-30,11:33,120.4811,274.089,91.6985,478.610
2019-04-30,12:03,120.5020,272.760,95.0723,311.684
2019-04-30,12:33,120.5228,272.547,89.4247,430.890
2019-04-30,13:03,120.5436,272.659,91.4697,440.656
